image_name,actual_regression_percentage,mask_percentage,predicted_regression_percentage,absolute_error
img541.jpg,0.0,0.0,0.33721923828125,0.33721923828125
img1432.jpg,63.64,63.64637017250061,74.50627088546753,10.866270885467529
img1260.jpg,0.51,0.5085536278784275,7.81991109251976,7.30991109251976
img282.jpg,0.49,0.5730765406042337,0.16806466737762094,0.32193533262237906
img1666.jpg,1.79,1.79159976541996,0.9571620263159275,0.8328379736840725
img1663.jpg,3.12,3.12042236328125,4.25981804728508,1.1398180472850798
img40.jpg,2.4,2.58767269551754,0.46364921145141125,1.9363507885485887
img1313.jpg,6.09,6.09981007874012,5.06809763610363,1.0219023638963698
img1619.jpg,3.72,3.72488833963871,1.88751220703125,1.8324877929687502
img186.jpg,2.39,2.68532894551754,5.13436459004879,2.74436459004879
img1023.jpg,0.0,0.0,1.3789585791528225,1.3789585791528225
img356.jpg,0.0,0.0,0.4954746924340725,0.4954746924340725
img970.jpg,0.54,0.5401611328125,0.0,0.54
img1897.jpg,7.98,8.07320699095726,8.45969095826149,0.47969095826148944
img1500.jpg,12.25,12.29182630777359,2.112688310444355,10.137311689555645
img298.jpg,16.02,17.13278591632843,11.85346320271492,4.1665367972850795
img882.jpg,0.7,0.7025582250207663,0.8411952294409275,0.14119522944092755
img1903.jpg,0.75,0.7489885669201612,0.5656651221215725,0.1843348778784275
img1743.jpg,0.45,0.45078820548951626,0.0,0.45
img999.jpg,0.0,0.0,0.0,0.0
img621.jpg,0.0,0.0,3.22222039103508,3.22222039103508
img11.jpg,0.9,1.0465349070727825,2.34048031270504,1.44048031270504
img1504.jpg,14.14,14.1387939453125,26.63334310054779,12.49334310054779
img233.jpg,0.0,0.0,0.0,0.0
img1552.jpg,1.49,1.4925275929272175,0.9124755859375,0.5775244140625
img389.jpg,0.0,0.0,0.0,0.0
img1298.jpg,15.29,15.28080552816391,11.03319451212883,4.256805487871169
img1234.jpg,4.32,4.32281494140625,7.14220330119133,2.8222033011913297
img1875.jpg,4.9,4.89065982401371,4.21469546854496,0.6853045314550403
img1324.jpg,1.53,1.525007002055645,3.91627736389637,2.3862773638963697
img1997.jpg,0.0,0.0,3.66101935505867,3.66101935505867
img313.jpg,3.09,3.29197458922863,2.64609195291996,0.44390804708003984
img559.jpg,0.0,0.0,0.0,0.0
img1653.jpg,8.03,8.02939310669899,11.69346421957016,3.6634642195701606
img1465.jpg,59.3,59.33554768562317,84.36344861984253,25.063448619842532
img121.jpg,6.94,7.47571662068367,6.74678236246109,0.1932176375389103
img1831.jpg,2.85,2.851213701069355,5.65141960978508,2.80141960978508
img1855.jpg,9.06,9.06132310628891,10.64540296792984,1.5854029679298396
img69.jpg,5.78,6.36618509888649,3.92892025411129,1.8510797458887103
img948.jpg,0.0,0.0,0.0032697404094506055,0.0032697404094506055
img1512.jpg,12.57,12.56975382566452,10.65281480550766,1.9171851944923404
img208.jpg,11.43,11.88681498169899,6.52814581990242,4.90185418009758
img256.jpg,0.75,0.85296630859375,2.53121517598629,1.78121517598629
img833.jpg,0.0,0.0,0.0,0.0
